,epoch,train_loss,valid_loss
0,0.0,0.9766880869865417,0.9197770357131958
1,1.0,0.9657711982727051,0.9092787504196167
2,2.0,0.9548734426498413,0.8986381888389587
3,3.0,0.9437507390975952,0.887708842754364
4,4.0,0.93236243724823,0.876410186290741
5,5.0,0.9203698635101318,0.864454448223114
6,6.0,0.9077900648117065,0.8519035577774048
7,7.0,0.8946613669395447,0.8386169075965881
8,8.0,0.8805842995643616,0.8244888186454773
9,9.0,0.8657849431037903,0.8095623850822449
10,10.0,0.8501651883125305,0.7936577200889587
11,11.0,0.833384096622467,0.7771232724189758
12,12.0,0.8158717751502991,0.7595489621162415
13,13.0,0.7973569631576538,0.7411344051361084
14,14.0,0.7780756950378418,0.7216873168945312
15,15.0,0.7577474117279053,0.7016226053237915
16,16.0,0.7365798354148865,0.6806719303131104
17,17.0,0.7147865891456604,0.6591620445251465
18,18.0,0.6922566890716553,0.6370242834091187
19,19.0,0.6691699028015137,0.6147187352180481
20,20.0,0.6455751657485962,0.5918671488761902
21,21.0,0.6215745806694031,0.5684799551963806
22,22.0,0.596920371055603,0.5451205968856812
23,23.0,0.5723043084144592,0.5211932063102722
24,24.0,0.547120988368988,0.4973137676715851
25,25.0,0.5218376517295837,0.4735448658466339
26,26.0,0.4965463876724243,0.4495707154273987
27,27.0,0.4710206687450409,0.4257219135761261
28,28.0,0.4456266760826111,0.4022594094276428
29,29.0,0.42037704586982727,0.37901222705841064
30,30.0,0.3955288827419281,0.3557986915111542
31,31.0,0.3708864748477936,0.33347344398498535
32,32.0,0.3469068109989166,0.3120468258857727
33,33.0,0.32368209958076477,0.2909855842590332
34,34.0,0.30126383900642395,0.2705869674682617
35,35.0,0.2796010971069336,0.2513694167137146
36,36.0,0.2591615915298462,0.23324818909168243
37,37.0,0.2396847903728485,0.21616174280643463
38,38.0,0.2215406894683838,0.1999189555644989
39,39.0,0.2043474316596985,0.18520458042621613
40,40.0,0.1885606348514557,0.17128004133701324
41,41.0,0.1739768385887146,0.15866903960704803
42,42.0,0.1606181114912033,0.14709851145744324
43,43.0,0.1484774649143219,0.13683974742889404
44,44.0,0.13760513067245483,0.12728473544120789
45,45.0,0.12788259983062744,0.11900708824396133
46,46.0,0.1191990077495575,0.11166496574878693
47,47.0,0.11156757920980453,0.10514267534017563
48,48.0,0.10485810786485672,0.09936798363924026
49,49.0,0.09893513470888138,0.09444401413202286
50,50.0,0.09380225092172623,0.0899927020072937
51,51.0,0.08931272476911545,0.08612550050020218
52,52.0,0.0853123888373375,0.0827447772026062
53,53.0,0.08185107260942459,0.07964891195297241
54,54.0,0.07876600325107574,0.07707507163286209
55,55.0,0.07607874274253845,0.07453756034374237
56,56.0,0.0736180990934372,0.07238799333572388
57,57.0,0.07144296914339066,0.07052149623632431
58,58.0,0.06950440257787704,0.0686807706952095
59,59.0,0.06772772967815399,0.06704925745725632
60,60.0,0.06610241532325745,0.065559022128582
61,61.0,0.0646403357386589,0.06413272023200989
62,62.0,0.06327681988477707,0.06292659789323807
63,63.0,0.06205446273088455,0.06175539642572403
64,64.0,0.060892000794410706,0.06063433736562729
65,65.0,0.059832245111465454,0.05958832800388336
66,66.0,0.058854877948760986,0.058622200042009354
67,67.0,0.057930830866098404,0.05776059255003929
68,68.0,0.05711087957024574,0.056984156370162964
69,69.0,0.05630550906062126,0.05617818236351013
70,70.0,0.05559689551591873,0.05549222603440285
71,71.0,0.05493093281984329,0.054840654134750366
72,72.0,0.05429699271917343,0.054220668971538544
73,73.0,0.053702034056186676,0.053633321076631546
74,74.0,0.05319968983530998,0.05310273543000221
75,75.0,0.052665725350379944,0.0525999553501606
76,76.0,0.0522041991353035,0.0521661713719368
77,77.0,0.05178511515259743,0.05172621086239815
78,78.0,0.05138770118355751,0.05131935700774193
79,79.0,0.051001884043216705,0.05096699669957161
80,80.0,0.050658490508794785,0.05061580613255501
81,81.0,0.05035541579127312,0.05028313398361206
82,82.0,0.05007556080818176,0.049983780831098557
83,83.0,0.04975677281618118,0.04971904680132866
84,84.0,0.04949168488383293,0.04947201535105705
85,85.0,0.04924420639872551,0.04922029748558998
86,86.0,0.049014195799827576,0.04896983504295349
87,87.0,0.048805877566337585,0.048770878463983536
88,88.0,0.04861297085881233,0.04855768382549286
89,89.0,0.048458684235811234,0.0483616478741169
90,90.0,0.04827447235584259,0.048207953572273254
91,91.0,0.0480695404112339,0.04802505671977997
92,92.0,0.04790129512548447,0.04784344881772995
93,93.0,0.04773605242371559,0.047696832567453384
94,94.0,0.04759316146373749,0.04756907746195793
95,95.0,0.04744971543550491,0.04739280045032501
96,96.0,0.04732644557952881,0.04724065586924553
97,97.0,0.047186899930238724,0.047120459377765656
98,98.0,0.04704967886209488,0.04699530452489853
99,99.0,0.04692799970507622,0.04686924070119858
100,100.0,0.0468132346868515,0.04676145687699318
101,101.0,0.04673440754413605,0.04666372016072273
102,102.0,0.04661787301301956,0.04650086909532547
103,103.0,0.0464664064347744,0.04639182612299919
104,104.0,0.04635457322001457,0.046282753348350525
105,105.0,0.04624297842383385,0.046174511313438416
106,106.0,0.04612260311841965,0.04606573283672333
107,107.0,0.0460224412381649,0.045957934111356735
108,108.0,0.04591669142246246,0.04584579914808273
109,109.0,0.04580814391374588,0.04577869176864624
110,110.0,0.0457172766327858,0.04566376283764839
111,111.0,0.04565798491239548,0.045554183423519135
112,112.0,0.04553557559847832,0.04545256495475769
113,113.0,0.04541890695691109,0.045372460037469864
114,114.0,0.04531969130039215,0.04527472332119942
115,115.0,0.045249320566654205,0.045174404978752136
