Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 486.1nm F,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 486.1nm F
1, GJ10-009663, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 76.0, , , , , , , , , , 24.0, , , , , , 1.676
2, GJ10-009664, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 68.0, , , , , , , , , , 32.0, , , , , , 1.746
3, GJ10-009665, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 60.0, , , , , , , , , , 40.0, , , , , , 1.828
4, GJ10-009666, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 52.0, , , , , , , , , , 48.0, , , , , , 1.903
5, GJ10-009667, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , 44.0, , , , , , , , , , 56.0, , , , , , 1.964
6, GJ04-009668, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, 44.0, , , , , , , , , , , 56.0, , , , , , 1.98
7, GJ04-009669, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, 40.0, , , , , , , , , , , 60.0, , , , , , 2.103
8, GJ35-009670, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , , , , , , , , , , , 40.0, , , 60.0, , , 1.999
9, GJ35-009671, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , , , , , , , , , , , 48.0, , , 52.0, , , 2.056
10, GJ35-009672, J. Ceramic Soc. Japan, 1980, v. 088  p. 0191, , , , , , , , , , , , 56.0, , , 44.0, , , 2.129
11, GB03-012524, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 40.0, , , , 14.0, , , , , , , , 1.688
12, GB03-012525, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 36.0, , , , 6.0, , , , , , , , 1.644
13, GB03-012526, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 36.0, , , , 10.0, , , , , , , , 1.663
14, GB03-012527, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 36.0, , , , 14.0, , , , , , , , 1.675
15, GB03-012528, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 36.0, , , , 18.0, , , , , , , , 1.686
16, GB03-012529, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 34.0, , , , 10.0, , , , , , , , 1.653
17, GB03-012530, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 34.0, , , , 14.0, , , , , , , , 1.662
18, GB03-012531, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 34.0, , , , 16.0, , , , , , , , 1.671
19, GB03-012532, Handbook of Glass Properties, 1986, v. 001  p. 0591, 48.0, , , , , 34.0, , , , 18.0, , , , , , , , 1.678
20, GB03-012533, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 34.0, , , , 20.0, , , , , , , , 1.68
21, GB03-012534, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 33.0, , , , 3.0, , , , , , , , 1.619
22, GB03-012535, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 32.0, , , , 16.0, , , , , , , , 1.665
23, GB03-012536, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 32.0, , , , 18.0, , , , , , , , 1.672
24, GB03-012537, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 30.0, , , , 6.0, , , , , , , , 1.622
25, GB03-012538, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 30.0, , , , 8.0, , , , , , , , 1.63
26, GB03-012539, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 30.0, , , , 10.0, , , , , , , , 1.636
27, GB03-012540, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 30.0, , , , 12.0, , , , , , , , 1.641
28, GB03-012541, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 30.0, , , , 14.0, , , , , , , , 1.65
29, GB03-012542, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 30.0, , , , 16.0, , , , , , , , 1.657
30, GB03-012543, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 30.0, , , , 18.0, , , , , , , , 1.663
31, GB03-012544, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 30.0, , , , 20.0, , , , , , , , 1.669
32, GB03-012545, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 28.0, , , , 10.0, , , , , , , , 1.627
33, GB03-012546, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 28.0, , , , 12.0, , , , , , , , 1.634
34, GB03-012547, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 28.0, , , , 14.0, , , , , , , , 1.644
35, GB03-012548, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 28.0, , , , 16.0, , , , , , , , 1.649
36, GB03-012549, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 28.0, , , , 20.0, , , , , , , , 1.661
37, GB03-012550, Handbook of Glass Properties, 1986, v. 001  p. 0591, 48.0, , , , , 28.0, , , , 24.0, , , , , , , , 1.677
38, GB03-012551, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 28.0, , , , 26.0, , , , , , , , 1.684
39, GB03-012552, Handbook of Glass Properties, 1986, v. 001  p. 0591, 70.0, , , , , 26.0, , , , 4.0, , , , , , , , 1.597
40, GB03-012553, Handbook of Glass Properties, 1986, v. 001  p. 0591, 68.0, , , , , 26.0, , , , 6.0, , , , , , , , 1.605
41, GB03-012554, Handbook of Glass Properties, 1986, v. 001  p. 0591, 66.0, , , , , 26.0, , , , 8.0, , , , , , , , 1.613
42, GB03-012555, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 26.0, , , , 10.0, , , , , , , , 1.617
43, GB03-012556, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 26.0, , , , 12.0, , , , , , , , 1.626
44, GB03-012557, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 26.0, , , , 14.0, , , , , , , , 1.632
45, GB03-012558, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 26.0, , , , 16.0, , , , , , , , 1.642
46, GB03-012559, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 26.0, , , , 18.0, , , , , , , , 1.647
47, GB03-012560, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 26.0, , , , 20.0, , , , , , , , 1.656
48, GB03-012561, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 26.0, , , , 24.0, , , , , , , , 1.67
49, GB07-012562, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 26.0, , , , 28.0, , , , , , , , 1.683
50, GB03-012563, Handbook of Glass Properties, 1986, v. 001  p. 0591, 70.0, , , , , 24.0, , , , 6.0, , , , , , , , 1.595
51, GB03-012564, Handbook of Glass Properties, 1986, v. 001  p. 0591, 66.0, , , , , 24.0, , , , 10.0, , , , , , , , 1.61
52, GB03-012565, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 24.0, , , , 14.0, , , , , , , , 1.624
53, GB03-012566, Handbook of Glass Properties, 1986, v. 001  p. 0592, 46.0, , , , , 30.0, , , , 24.0, , , , , , , , 1.683
54, GB03-012567, Handbook of Glass Properties, 1986, v. 001  p. 0592, 70.0, , , , , 28.0, , , , 2.0, , , , , , , , 1.601
55, GB03-012568, Handbook of Glass Properties, 1986, v. 001  p. 0592, 64.0, , , , , 28.0, , , , 8.0, , , , , , , , 1.618
56, GB03-012569, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 24.0, , , , 24.0, , , , , , , , 1.66
57, GB07-012570, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 24.0, , , , 26.0, , , , , , , , 1.672
58, GB03-012571, Handbook of Glass Properties, 1986, v. 001  p. 0592, 66.0, , , , , 20.0, , , , 14.0, , , , , , , , 1.611
59, GB03-012572, Handbook of Glass Properties, 1986, v. 001  p. 0592, 60.0, , , , , 20.0, , , , 20.0, , , , , , , , 1.635
60, GB07-012573, Handbook of Glass Properties, 1986, v. 001  p. 0592, 58.0, , , , , 20.0, , , , 22.0, , , , , , , , 1.63
61, GB07-012574, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 20.0, , , , 28.0, , , , , , , , 1.658
62, GB07-012575, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 20.0, , , , 30.0, , , , , , , , 1.665
63, GB07-012576, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 18.0, , , , 30.0, , , , , , , , 1.659
64, GB07-012577, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 18.0, , , , 34.0, , , , , , , , 1.674
65, GB07-012578, Handbook of Glass Properties, 1986, v. 001  p. 0592, 60.0, , , , , 16.0, , , , 24.0, , , , , , , , 1.626
66, GB07-012579, Handbook of Glass Properties, 1986, v. 001  p. 0592, 57.45, , , , , 10.64, , , , 31.91, , , , , , , , 1.647
67, GB07-012580, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 16.0, , , , 34.0, , , , , , , , 1.665
68, GB03-012581, Handbook of Glass Properties, 1986, v. 001  p. 0592, 58.0, , , , , 24.0, , , , 18.0, , , , , , , , 1.638
69, GB03-012582, Handbook of Glass Properties, 1986, v. 001  p. 0592, 56.0, , , , , 24.0, , , , 20.0, , , , , , , , 1.65
70, GB03-012583, Handbook of Glass Properties, 1986, v. 001  p. 0592, 54.0, , , , , 24.0, , , , 22.0, , , , , , , , 1.655
71, GB07-012584, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 14.0, , , , 34.0, , , , , , , , 1.656
72, GB07-012585, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 14.0, , , , 38.0, , , , , , , , 1.669
73, GB07-012586, Handbook of Glass Properties, 1986, v. 001  p. 0592, 46.0, , , , , 14.0, , , , 40.0, , , , , , , , 1.678
74, GB07-012587, Handbook of Glass Properties, 1986, v. 001  p. 0592, 56.0, , , , , 12.0, , , , 32.0, , , , , , , , 1.635
75, GB07-012588, Handbook of Glass Properties, 1986, v. 001  p. 0592, 54.0, , , , , 12.0, , , , 34.0, , , , , , , , 1.649
76, GB07-012589, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 12.0, , , , 38.0, , , , , , , , 1.662
77, GB07-012590, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 12.0, , , , 40.0, , , , , , , , 1.668
78, GB07-012591, Handbook of Glass Properties, 1986, v. 001  p. 0592, 54.0, , , , , 10.0, , , , 36.0, , , , , , , , 1.646
79, GB07-012592, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 10.0, , , , 38.0, , , , , , , , 1.653
80, GB07-012593, Handbook of Glass Properties, 1986, v. 001  p. 0592, 48.0, , , , , 10.0, , , , 42.0, , , , , , , , 1.668
81, GB07-012594, Handbook of Glass Properties, 1986, v. 001  p. 0592, 50.0, , , , , 8.0, , , , 42.0, , , , , , , , 1.66
82, GB07-012595, Handbook of Glass Properties, 1986, v. 001  p. 0592, 52.0, , , , , 6.0, , , , 42.0, , , , , , , , 1.651
83, GB03-012785, Handbook of Glass Properties, 1986, v. 001  p. 0596, 64.0, , 6.0, , , 30.0, , , , , , , , , , , , 1.615
84, GB03-012786, Handbook of Glass Properties, 1986, v. 001  p. 0596, 62.0, , 6.0, , , 32.0, , , , , , , , , , , , 1.62
85, GB03-012787, Handbook of Glass Properties, 1986, v. 001  p. 0596, 60.0, , 6.0, , , 34.0, , , , , , , , , , , , 1.623
86, GB03-012788, Handbook of Glass Properties, 1986, v. 001  p. 0596, 58.0, , 6.0, , , 36.0, , , , , , , , , , , , 1.637
87, GB03-012789, Handbook of Glass Properties, 1986, v. 001  p. 0596, 56.0, , 6.0, , , 38.0, , , , , , , , , , , , 1.64
88, GB03-012790, Handbook of Glass Properties, 1986, v. 001  p. 0596, 54.0, , 6.0, , , 40.0, , , , , , , , , , , , 1.644
89, GB03-012791, Handbook of Glass Properties, 1986, v. 001  p. 0596, 58.0, , 8.0, , , 34.0, , , , , , , , , , , , 1.628
90, GB03-012792, Handbook of Glass Properties, 1986, v. 001  p. 0596, 56.0, , 8.0, , , 36.0, , , , , , , , , , , , 1.633
91, GB03-012793, Handbook of Glass Properties, 1986, v. 001  p. 0596, 54.0, , 8.0, , , 38.0, , , , , , , , , , , , 1.636
92, GB03-012794, Handbook of Glass Properties, 1986, v. 001  p. 0596, 50.0, , 8.0, , , 42.0, , , , , , , , , , , , 1.651
93, GB03-012795, Handbook of Glass Properties, 1986, v. 001  p. 0596, 62.0, , 10.0, , , 28.0, , , , , , , , , , , , 1.601
94, GB03-012796, Handbook of Glass Properties, 1986, v. 001  p. 0596, 52.0, , 10.0, , , 38.0, , , , , , , , , , , , 1.64
95, GB03-012797, Handbook of Glass Properties, 1986, v. 001  p. 0596, 50.0, , 10.0, , , 40.0, , , , , , , , , , , , 1.638
96, GB03-012798, Handbook of Glass Properties, 1986, v. 001  p. 0596, 48.0, , 10.0, , , 42.0, , , , , , , , , , , , 1.645
97, GB03-012799, Handbook of Glass Properties, 1986, v. 001  p. 0596, 52.0, , 12.0, , , 36.0, , , , , , , , , , , , 1.632
98, GB03-012800, Handbook of Glass Properties, 1986, v. 001  p. 0596, 48.0, , 12.0, , , 40.0, , , , , , , , , , , , 1.645
99, GB03-012801, Handbook of Glass Properties, 1986, v. 001  p. 0596, 46.0, , 14.0, , , 40.0, , , , , , , , , , , , 1.645
100, GB03-012802, Handbook of Glass Properties, 1986, v. 001  p. 0596, 44.0, , 14.0, , , 42.0, , , , , , , , , , , , 1.656
101, GB03-012815, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 28.0, , , , , , , 2.0, , , , , 1.617
102, GB03-012816, Handbook of Glass Properties, 1986, v. 001  p. 0597, 68.0, , , , , 30.0, , , , , , , 2.0, , , , , 1.625
103, GB03-012817, Handbook of Glass Properties, 1986, v. 001  p. 0597, 65.0, , , , , 33.0, , , , , , , 2.0, , , , , 1.637
104, GB03-012818, Handbook of Glass Properties, 1986, v. 001  p. 0597, 63.0, , , , , 35.0, , , , , , , 2.0, , , , , 1.647
105, GB03-012819, Handbook of Glass Properties, 1986, v. 001  p. 0597, 60.0, , , , , 38.0, , , , , , , 2.0, , , , , 1.655
106, GB03-012820, Handbook of Glass Properties, 1986, v. 001  p. 0597, 72.0, , , , , 23.0, , , , , , , 5.0, , , , , 1.629
107, GB03-012821, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 25.0, , , , , , , 5.0, , , , , 1.64
108, GB03-012822, Handbook of Glass Properties, 1986, v. 001  p. 0597, 67.0, , , , , 28.0, , , , , , , 5.0, , , , , 1.651
109, GB03-012823, Handbook of Glass Properties, 1986, v. 001  p. 0597, 62.0, , , , , 33.0, , , , , , , 5.0, , , , , 1.67
110, GB03-012824, Handbook of Glass Properties, 1986, v. 001  p. 0597, 60.0, , , , , 35.0, , , , , , , 5.0, , , , , 1.676
111, GB03-012825, Handbook of Glass Properties, 1986, v. 001  p. 0597, 58.0, , , , , 37.0, , , , , , , 5.0, , , , , 1.686
112, GB03-012826, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 23.0, , , , , , , 7.0, , , , , 1.653
113, GB03-012827, Handbook of Glass Properties, 1986, v. 001  p. 0597, 68.0, , , , , 25.0, , , , , , , 7.0, , , , , 1.661
114, GB03-012828, Handbook of Glass Properties, 1986, v. 001  p. 0597, 63.0, , , , , 30.0, , , , , , , 7.0, , , , , 1.681
115, GB03-012829, Handbook of Glass Properties, 1986, v. 001  p. 0597, 58.0, , , , , 35.0, , , , , , , 7.0, , , , , 1.695
116, GB03-012830, Handbook of Glass Properties, 1986, v. 001  p. 0597, 55.0, , , , , 38.0, , , , , , , 7.0, , , , , 1.705
117, GB03-012831, Handbook of Glass Properties, 1986, v. 001  p. 0597, 70.0, , , , , 20.0, , , , , , , 10.0, , , , , 1.679
118, GB03-012832, Handbook of Glass Properties, 1986, v. 001  p. 0597, 67.0, , , , , 23.0, , , , , , , 10.0, , , , , 1.684
119, GB03-012833, Handbook of Glass Properties, 1986, v. 001  p. 0597, 65.0, , , , , 25.0, , , , , , , 10.0, , , , , 1.692
120, GB03-012834, Handbook of Glass Properties, 1986, v. 001  p. 0597, 65.0, , , , , 23.0, , , , , , , 12.0, , , , , 1.709
121, GB03-012914, Handbook of Glass Properties, 1986, v. 001  p. 0600, 55.0, , , , , 25.0, , , , , , , , 20.0, , , , 1.746
122, GB03-012915, Handbook of Glass Properties, 1986, v. 001  p. 0600, 50.0, , , , , 25.0, , , , , , , , 25.0, , , , 1.796
123, GB09-012916, Handbook of Glass Properties, 1986, v. 001  p. 0600, 45.0, , , , , 25.0, , , , , , , , 30.0, , , , 1.844
124, GB09-012917, Handbook of Glass Properties, 1986, v. 001  p. 0600, 40.0, , , , , 25.0, , , , , , , , 35.0, , , , 1.892
125, GB03-012918, Handbook of Glass Properties, 1986, v. 001  p. 0600, 65.0, , , , , 30.0, , , , , , , , 5.0, , , , 1.64
126, GB03-012919, Handbook of Glass Properties, 1986, v. 001  p. 0600, 60.0, , , , , 30.0, , , , , , , , 10.0, , , , 1.683
127, GB03-012920, Handbook of Glass Properties, 1986, v. 001  p. 0600, 55.0, , , , , 30.0, , , , , , , , 15.0, , , , 1.726
128, GB03-012921, Handbook of Glass Properties, 1986, v. 001  p. 0600, 50.0, , , , , 30.0, , , , , , , , 20.0, , , , 1.77
129, GB03-012922, Handbook of Glass Properties, 1986, v. 001  p. 0600, 45.0, , , , , 30.0, , , , , , , , 25.0, , , , 1.814
130, GB03-012923, Handbook of Glass Properties, 1986, v. 001  p. 0600, 40.0, , , , , 30.0, , , , , , , , 30.0, , , , 1.858
131, GB03-012924, Handbook of Glass Properties, 1986, v. 001  p. 0600, 60.0, , , , , 35.0, , , , , , , , 5.0, , , , 1.643
132, GB03-012925, Handbook of Glass Properties, 1986, v. 001  p. 0600, 55.0, , , , , 35.0, , , , , , , , 10.0, , , , 1.703
133, GB03-012926, Handbook of Glass Properties, 1986, v. 001  p. 0600, 50.0, , , , , 35.0, , , , , , , , 15.0, , , , 1.744
134, GB03-012930, Handbook of Glass Properties, 1986, v. 001  p. 0602, 66.0, , , , , 32.0, , , , , , , , , , , , 1.644
135, GB03-012931, Handbook of Glass Properties, 1986, v. 001  p. 0602, 62.0, , , , , 36.0, , , , , , , , , , , , 1.657
136, GB03-012932, Handbook of Glass Properties, 1986, v. 001  p. 0602, 58.0, , , , , 40.0, , , , , , , , , , , , 1.673
137, GB03-012933, Handbook of Glass Properties, 1986, v. 001  p. 0602, 62.0, , , , , 32.0, , , , , , , , , , , , 1.699
138, GB03-012934, Handbook of Glass Properties, 1986, v. 001  p. 0602, 58.0, , , , , 36.0, , , , , , , , , , , , 1.716
139, GB03-012935, Handbook of Glass Properties, 1986, v. 001  p. 0602, 54.0, , , , , 40.0, , , , , , , , , , , , 1.727
140, GB03-012936, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 44.0, , , , , , , , , , , , 1.746
141, GB03-012937, Handbook of Glass Properties, 1986, v. 001  p. 0602, 58.0, , , , , 32.0, , , , , , , , , , , , 1.754
142, GB03-012938, Handbook of Glass Properties, 1986, v. 001  p. 0602, 54.0, , , , , 36.0, , , , , , , , , , , , 1.768
143, GB03-012939, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 40.0, , , , , , , , , , , , 1.774
144, GB03-012940, Handbook of Glass Properties, 1986, v. 001  p. 0602, 46.0, , , , , 44.0, , , , , , , , , , , , 1.789
145, GB03-012941, Handbook of Glass Properties, 1986, v. 001  p. 0602, 54.0, , , , , 32.0, , , , , , , , , , , , 1.805
146, GB03-012942, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 36.0, , , , , , , , , , , , 1.819
147, GB03-012943, Handbook of Glass Properties, 1986, v. 001  p. 0602, 46.0, , , , , 40.0, , , , , , , , , , , , 1.83
148, GB03-012944, Handbook of Glass Properties, 1986, v. 001  p. 0602, 42.0, , , , , 44.0, , , , , , , , , , , , 1.839
149, GB03-012945, Handbook of Glass Properties, 1986, v. 001  p. 0602, 38.0, , , , , 48.0, , , , , , , , , , , , 1.845
150, GB03-012946, Handbook of Glass Properties, 1986, v. 001  p. 0602, 50.0, , , , , 32.0, , , , , , , , , , , , 1.858
151, GB03-012947, Handbook of Glass Properties, 1986, v. 001  p. 0602, 46.0, , , , , 36.0, , , , , , , , , , , , 1.869
152, GB03-012948, Handbook of Glass Properties, 1986, v. 001  p. 0602, 42.0, , , , , 40.0, , , , , , , , , , , , 1.877
153, GB03-012949, Handbook of Glass Properties, 1986, v. 001  p. 0602, 38.0, , , , , 44.0, , , , , , , , , , , , 1.885
154, GB03-012950, Handbook of Glass Properties, 1986, v. 001  p. 0602, 34.0, , , , , 48.0, , , , , , , , , , , , 1.89
155, GB03-012951, Handbook of Glass Properties, 1986, v. 001  p. 0602, 42.0, , , , , 36.0, , , , , , , , , , , , 1.914
156, GB03-012952, Handbook of Glass Properties, 1986, v. 001  p. 0602, 38.0, , , , , 40.0, , , , , , , , , , , , 1.925
157, GB03-012953, Handbook of Glass Properties, 1986, v. 001  p. 0603, 70.0, , , , , 28.0, , , , , , , , , , , , 1.619
158, GB03-012954, Handbook of Glass Properties, 1986, v. 001  p. 0603, 68.0, , , , , 30.0, , , , , , , , , , , , 1.63
159, GB03-012955, Handbook of Glass Properties, 1986, v. 001  p. 0603, 65.0, , , , , 33.0, , , , , , , , , , , , 1.646
160, GB03-012956, Handbook of Glass Properties, 1986, v. 001  p. 0603, 63.0, , , , , 35.0, , , , , , , , , , , , 1.652
161, GB03-012957, Handbook of Glass Properties, 1986, v. 001  p. 0603, 60.0, , , , , 38.0, , , , , , , , , , , , 1.672
162, GB03-012958, Handbook of Glass Properties, 1986, v. 001  p. 0603, 58.0, , , , , 40.0, , , , , , , , , , , , 1.67
163, GB03-012959, Handbook of Glass Properties, 1986, v. 001  p. 0603, 68.0, , , , , 27.0, , , , , , , , , , , , 1.653
164, GB03-012960, Handbook of Glass Properties, 1986, v. 001  p. 0603, 65.0, , , , , 30.0, , , , , , , , , , , , 1.669
165, GB03-012961, Handbook of Glass Properties, 1986, v. 001  p. 0603, 63.0, , , , , 32.0, , , , , , , , , , , , 1.681
166, GB03-012962, Handbook of Glass Properties, 1986, v. 001  p. 0603, 60.0, , , , , 35.0, , , , , , , , , , , , 1.69
167, GB03-012963, Handbook of Glass Properties, 1986, v. 001  p. 0603, 58.0, , , , , 37.0, , , , , , , , , , , , 1.698
168, GB03-012964, Handbook of Glass Properties, 1986, v. 001  p. 0603, 55.0, , , , , 40.0, , , , , , , , , , , , 1.708
169, GB03-012965, Handbook of Glass Properties, 1986, v. 001  p. 0603, 50.0, , , , , 45.0, , , , , , , , , , , , 1.723
170, GB03-012966, Handbook of Glass Properties, 1986, v. 001  p. 0603, 48.0, , , , , 47.0, , , , , , , , , , , , 1.724
171, GB03-012967, Handbook of Glass Properties, 1986, v. 001  p. 0603, 60.0, , , , , 33.0, , , , , , , , , , , , 1.709
172, GB03-012968, Handbook of Glass Properties, 1986, v. 001  p. 0603, 58.0, , , , , 35.0, , , , , , , , , , , , 1.711
173, GB03-012969, Handbook of Glass Properties, 1986, v. 001  p. 0603, 55.0, , , , , 38.0, , , , , , , , , , , , 1.724
174, GB03-012970, Handbook of Glass Properties, 1986, v. 001  p. 0603, 53.0, , , , , 40.0, , , , , , , , , , , , 1.73
175, GB03-012971, Handbook of Glass Properties, 1986, v. 001  p. 0603, 50.0, , , , , 43.0, , , , , , , , , , , , 1.74
176, GB03-012972, Handbook of Glass Properties, 1986, v. 001  p. 0603, 48.0, , , , , 45.0, , , , , , , , , , , , 1.737
177, GB03-012973, Handbook of Glass Properties, 1986, v. 001  p. 0603, 47.0, , , , , 46.0, , , , , , , , , , , , 1.738
178, GB03-012974, Handbook of Glass Properties, 1986, v. 001  p. 0603, 45.0, , , , , 48.0, , , , , , , , , , , , 1.754
179, GB03-012975, Handbook of Glass Properties, 1986, v. 001  p. 0603, 45.0, , , , , 45.0, , , , , , , , , , , , 1.766
180, GB03-012976, Handbook of Glass Properties, 1986, v. 001  p. 0603, 42.0, , , , , 48.0, , , , , , , , , , , , 1.784
181, GB03-017329, Handbook of Glass Data, 1987, v. 00C  p. 0910, 70.0, , , , , 28.0, , , , , , , , , , , , 1.619
182, GB03-017330, Handbook of Glass Data, 1987, v. 00C  p. 0910, 68.0, , , , , 30.0, , , , , , , , , , , , 1.629
183, GB03-017331, Handbook of Glass Data, 1987, v. 00C  p. 0910, 65.0, , , , , 33.0, , , , , , , , , , , , 1.648
184, GB03-017332, Handbook of Glass Data, 1987, v. 00C  p. 0910, 63.0, , , , , 35.0, , , , , , , , , , , , 1.652
185, GB03-017333, Handbook of Glass Data, 1987, v. 00C  p. 0910, 60.0, , , , , 38.0, , , , , , , , , , , , 1.672
186, GB03-017334, Handbook of Glass Data, 1987, v. 00C  p. 0910, 58.0, , , , , 40.0, , , , , , , , , , , , 1.67
187, GB03-017335, Handbook of Glass Data, 1987, v. 00C  p. 0910, 67.68, , , , , 27.27, , , , , , , , , , , , 1.653
188, GB03-017336, Handbook of Glass Data, 1987, v. 00C  p. 0910, 65.0, , , , , 30.0, , , , , , , , , , , , 1.669
189, GB03-017337, Handbook of Glass Data, 1987, v. 00C  p. 0910, 63.0, , , , , 32.0, , , , , , , , , , , , 1.681
190, GB03-017338, Handbook of Glass Data, 1987, v. 00C  p. 0910, 60.0, , , , , 35.0, , , , , , , , , , , , 1.69
191, GB03-017339, Handbook of Glass Data, 1987, v. 00C  p. 0910, 58.0, , , , , 37.0, , , , , , , , , , , , 1.698
192, GB03-017340, Handbook of Glass Data, 1987, v. 00C  p. 0910, 55.0, , , , , 40.0, , , , , , , , , , , , 1.708
193, GB03-017341, Handbook of Glass Data, 1987, v. 00C  p. 0910, 50.0, , , , , 45.0, , , , , , , , , , , , 1.723
194, GB03-017342, Handbook of Glass Data, 1987, v. 00C  p. 0910, 48.0, , , , , 47.0, , , , , , , , , , , , 1.724
195, GB03-017343, Handbook of Glass Data, 1987, v. 00C  p. 0910, 60.0, , , , , 33.0, , , , , , , , , , , , 1.709
196, GB03-017344, Handbook of Glass Data, 1987, v. 00C  p. 0910, 58.0, , , , , 35.0, , , , , , , , , , , , 1.711
197, GB03-017345, Handbook of Glass Data, 1987, v. 00C  p. 0910, 55.0, , , , , 38.0, , , , , , , , , , , , 1.724
198, GB03-017346, Handbook of Glass Data, 1987, v. 00C  p. 0910, 53.0, , , , , 40.0, , , , , , , , , , , , 1.73
