Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
382, GB03-024999, Handbook of Glass Data, 1987, v. 00C  p. 0774, 52.0, , 12.0, , , 36.0, , , , , , , , , , , , 1.62
383, GB03-025000, Handbook of Glass Data, 1987, v. 00C  p. 0774, 48.0, , 12.0, , , 40.0, , , , , , , , , , , , 1.633
384, GB03-025001, Handbook of Glass Data, 1987, v. 00C  p. 0774, 46.0, , 12.0, , , 42.0, , , , , , , , , , , , 1.64
385, GB03-025002, Handbook of Glass Data, 1987, v. 00C  p. 0774, 44.0, , 12.0, , , 44.0, , , , , , , , , , , , 1.646
386, GB03-025003, Handbook of Glass Data, 1987, v. 00C  p. 0774, 42.0, , 12.0, , , 46.0, , , , , , , , , , , , 1.653
387, GB03-025004, Handbook of Glass Data, 1987, v. 00C  p. 0775, 46.0, , 14.0, , , 40.0, , , , , , , , , , , , 1.633
388, GB03-025005, Handbook of Glass Data, 1987, v. 00C  p. 0775, 44.0, , 14.0, , , 42.0, , , , , , , , , , , , 1.644
389, GB03-025006, Handbook of Glass Data, 1987, v. 00C  p. 0775, 42.0, , 14.0, , , 44.0, , , , , , , , , , , , 1.65
390, GB03-025007, Handbook of Glass Data, 1987, v. 00C  p. 0775, 44.0, , 16.0, , , 40.0, , , , , , , , , , , , 1.637
391, GB03-025008, Handbook of Glass Data, 1987, v. 00C  p. 0775, 42.0, , 16.0, , , 42.0, , , , , , , , , , , , 1.643
392, GB03-025028, Handbook of Glass Data, 1987, v. 00C  p. 0775, 58.0, , , , , 32.0, , , , , , , 10.0, , , , , 1.699
393, GB02-027269, Handbook of Glass Data, 1987, v. 00C  p. 0595, 6.49, , , , , , , 6.49, , , , , , , 87.03, , , 1.628
394, GB02-027270, Handbook of Glass Data, 1987, v. 00C  p. 0595, 6.68, , , , , , , 6.68, , , , , , , 86.64, , , 1.63
395, GB02-027271, Handbook of Glass Data, 1987, v. 00C  p. 0595, 6.89, , , , , , , 6.89, , , , , , , 86.22, , , 1.632
396, GB02-027272, Handbook of Glass Data, 1987, v. 00C  p. 0595, 7.15, , , , , , , 7.15, , , , , , , 85.7, , , 1.635
397, GB02-027273, Handbook of Glass Data, 1987, v. 00C  p. 0595, 7.34, , , , , , , 7.34, , , , , , , 85.31, , , 1.636
398, GB02-027274, Handbook of Glass Data, 1987, v. 00C  p. 0595, 7.59, , , , , , , 7.59, , , , , , , 84.82, , , 1.638
399, GB02-027275, Handbook of Glass Data, 1987, v. 00C  p. 0595, 7.84, , , , , , , 7.84, , , , , , , 84.32, , , 1.64
400, GB02-027276, Handbook of Glass Data, 1987, v. 00C  p. 0595, 8.13, , , , , , , 8.13, , , , , , , 83.74, , , 1.644
401, GB02-027277, Handbook of Glass Data, 1987, v. 00C  p. 0595, 8.39, , , , , , , 8.39, , , , , , , 83.22, , , 1.643
402, GB02-027278, Handbook of Glass Data, 1987, v. 00C  p. 0595, 8.72, , , , , , , 8.72, , , , , , , 82.55, , , 1.644
403, GB02-027279, Handbook of Glass Data, 1987, v. 00C  p. 0595, 9.05, , , , , , , 9.05, , , , , , , 81.89, , , 1.645
404, GB02-027280, Handbook of Glass Data, 1987, v. 00C  p. 0595, 9.43, , , , , , , 9.43, , , , , , , 81.15, , , 1.646
405, GB02-027281, Handbook of Glass Data, 1987, v. 00C  p. 0595, 9.79, , , , , , , 9.79, , , , , , , 80.43, , , 1.645
406, GB02-027282, Handbook of Glass Data, 1987, v. 00C  p. 0595, 10.23, , , , , , , 10.23, , , , , , , 79.53, , , 1.647
407, GB02-027283, Handbook of Glass Data, 1987, v. 00C  p. 0595, 10.66, , , , , , , 10.66, , , , , , , 78.68, , , 1.647
408, GB02-027285, Handbook of Glass Data, 1987, v. 00C  p. 0595, 9.07, , , , , , , 26.63, , , , , , , 64.3, , , 1.62
409, GB02-027286, Handbook of Glass Data, 1987, v. 00C  p. 0595, 9.61, , , , , , , 22.27, , , , , , , 68.12, , , 1.64
410, GB10-027825, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 80.0, , , , , 20.0, , , , , , , , , , , 1.521
411, GB10-027826, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 75.0, , , , , 25.0, , , , , , , , , , , 1.533
412, GB10-027827, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 70.0, , , , , 30.0, , , , , , , , , , , 1.548
413, GB10-027828, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 65.0, , , , , 35.0, , , , , , , , , , , 1.558
414, GB10-027829, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 80.0, , , , , , 20.0, , , , , , , , , , 1.479
415, GB10-027830, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 75.0, , , , , , 25.0, , , , , , , , , , 1.503
416, GB10-027831, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 70.0, , , , , , 30.0, , , , , , , , , , 1.509
417, GB10-027832, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 65.0, , , , , , 35.0, , , , , , , , , , 1.517
418, GB10-027833, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 80.0, , , , , , , 20.0, , , , , , , , , 1.485
419, GB10-027834, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 75.0, , , , , , , 25.0, , , , , , , , , 1.492
420, GB10-027835, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 70.0, , , , , , , 30.0, , , , , , , , , 1.498
421, GB10-027836, Handbook of Glass Data, 1985, v. 00B  p. 0115, , 65.0, , , , , , , 35.0, , , , , , , , , 1.502
422, GB10-028576, Handbook of Glass Data, 1985, v. 00B  p. 0237, , 65.0, , , 35.0, , , , , , , , , , , , , 1.599
423, GB10-028577, Handbook of Glass Data, 1985, v. 00B  p. 0237, , 70.0, , , , , , , , , 30.0, , , , , , , 1.591
424, GB10-028578, Handbook of Glass Data, 1985, v. 00B  p. 0237, , 65.0, , , , , , , , , 35.0, , , , , , , 1.607
425, GB10-028579, Handbook of Glass Data, 1985, v. 00B  p. 0237, , 80.0, , , , 20.0, , , , , , , , , , , , 1.564
426, GB10-028580, Handbook of Glass Data, 1985, v. 00B  p. 0237, , 75.0, , , , 25.0, , , , , , , , , , , , 1.588
427, GB10-028581, Handbook of Glass Data, 1985, v. 00B  p. 0237, , 70.0, , , , 30.0, , , , , , , , , , , , 1.607
428, GB10-028582, Handbook of Glass Data, 1985, v. 00B  p. 0237, , 65.0, , , , 35.0, , , , , , , , , , , , 1.623
429, GB10-028613, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 79.3, , , , 20.7, , , , , , , , , , , , 1.558
430, GB10-028614, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 76.7, , , , 23.3, , , , , , , , , , , , 1.571
431, GB10-028615, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 74.0, , , , 26.0, , , , , , , , , , , , 1.583
432, GB10-028616, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 71.5, , , , 28.5, , , , , , , , , , , , 1.596
433, GB10-028617, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 69.2, , , , 30.8, , , , , , , , , , , , 1.606
434, GB10-028618, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 66.6, , , , 33.4, , , , , , , , , , , , 1.616
435, GB10-028619, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 64.2, , , , 35.8, , , , , , , , , , , , 1.625
436, GB10-028620, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 61.4, , , , 38.6, , , , , , , , , , , , 1.632
437, GB10-028621, Handbook of Glass Data, 1985, v. 00B  p. 0238, , 60.0, , , , 40.0, , , , , , , , , , , , 1.637
438, GB10-028622, Handbook of Glass Data, 1985, v. 00B  p. 0239, , 78.9, , , , 21.1, , , , , , , , , , , , 1.56
439, GB10-028623, Handbook of Glass Data, 1985, v. 00B  p. 0239, , 68.9, , , , 31.1, , , , , , , , , , , , 1.608
440, GB10-028624, Handbook of Glass Data, 1985, v. 00B  p. 0239, , 50.0, , , , , , , , 50.0, , , , , , , , 1.645
441, GJ35-032439, Glass Physics & Chemistry, 1986, v. 012  p. 0052, , , , , , , , , , , , , , 15.0, 85.0, , , 1.65
442, GJ35-032440, Glass Physics & Chemistry, 1986, v. 012  p. 0052, , , , , , , , 33.4, , , , , , 33.3, 33.3, , , 1.768
443, GJ35-032441, Glass Physics & Chemistry, 1986, v. 012  p. 0052, , , , , , , , 25.0, , , , , , 25.0, 50.0, , , 1.774
444, GJ35-032442, Glass Physics & Chemistry, 1986, v. 012  p. 0052, , , , , , , , 5.0, , , , , , 5.0, 90.0, , , 1.679
445, GP05-036398, Japanese Patent    Others, 1986, A227939, 70.68, 27.77, , , , , , , 1.44, , , , , , , , , 1.461
446, GB35-038161, Handbook of Glass Data, 1985, v. 00B  p. 0366, , , , , , , , , , , , , , , 100.0, , , 1.604
447, GB35-038698, Handbook of Glass Data, 1985, v. 00B  p. 0430, , , , , , , , , , , , 40.0, , , 60.0, , , 1.654
448, GB35-038699, Handbook of Glass Data, 1985, v. 00B  p. 0430, , , , , , , , , , , , 48.0, , , 52.0, , , 2.009
449, GB35-038700, Handbook of Glass Data, 1985, v. 00B  p. 0430, , , , , , , , , , , , 56.0, , , 44.0, , , 2.064
450, GJ10-038929, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 79.3, , , , 20.7, , , , , , , , , , , , 1.558
451, GJ10-038930, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 76.7, , , , 23.3, , , , , , , , , , , , 1.571
452, GJ10-038931, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 74.0, , , , 26.0, , , , , , , , , , , , 1.583
453, GJ10-038932, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 71.5, , , , 28.5, , , , , , , , , , , , 1.596
454, GJ10-038933, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 69.2, , , , 30.8, , , , , , , , , , , , 1.606
455, GJ10-038934, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 66.6, , , , 33.4, , , , , , , , , , , , 1.616
456, GJ10-038935, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 64.2, , , , 35.8, , , , , , , , , , , , 1.625
457, GJ10-038936, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 61.4, , , , 38.6, , , , , , , , , , , , 1.632
458, GJ10-038937, J. Non-Crystalline Solids, 1978, v. 029  p. 0231, , 60.0, , , , 40.0, , , , , , , , , , , , 1.637
459, GB10-041653, Handbook of Glass Data, 1985, v. 00B  p. 0305, , 75.0, , , , , , , , , , , 25.0, , , , , 1.726
460, GB20-042701, Handbook of Glass Data, 1985, v. 00B  p. 0539, , , , 50.0, , , , , , , , , , , , , 50.0, 1.492
461, GB20-042702, Handbook of Glass Data, 1985, v. 00B  p. 0539, , , , , 50.0, , , , , , , , , , , , 50.0, 1.545
462, GB20-042703, Handbook of Glass Data, 1985, v. 00B  p. 0539, , , , , , , , , , 50.0, , , , , , , 50.0, 1.516
463, GB20-042704, Handbook of Glass Data, 1985, v. 00B  p. 0539, , , , , , , , , , , 50.0, , , , , , 50.0, 1.556
464, GB20-042705, Handbook of Glass Data, 1985, v. 00B  p. 0539, , , , , , , , , , , , , , , , , 50.0, 1.601
465, GB20-042706, Handbook of Glass Data, 1985, v. 00B  p. 0539, , , , , , 50.0, , , , , , , , , , , 50.0, 1.582
466, GB20-042707, Handbook of Glass Data, 1985, v. 00B  p. 0539, , , , , , , , , , , , 50.0, , , , , 50.0, 1.718
467, GB20-043021, Handbook of Glass Data, 1985, v. 00B  p. 0586, , , 25.0, , , , , , , , , , , , , , 75.0, 1.524
468, GB20-043022, Handbook of Glass Data, 1985, v. 00B  p. 0586, , , , , , , , , , , , , , , , , 75.0, 1.542
469, GB20-043023, Handbook of Glass Data, 1985, v. 00B  p. 0586, , , , , , , , , , , , , , , , , 75.0, 1.565
470, GB20-043024, Handbook of Glass Data, 1985, v. 00B  p. 0586, , , , , , , , , , , , , 25.0, , , , 75.0, 1.591
471, GB40-044315, Handbook of Glass Data, 1985, v. 00B  p. 0688, , , , , , 16.7, , , , , , , , , , , , 2.083
472, GB40-044316, Handbook of Glass Data, 1985, v. 00B  p. 0688, , , , , , 9.76, , , , , , , , , , , , 2.114
473, GB40-044317, Handbook of Glass Data, 1985, v. 00B  p. 0688, , , , , , 16.23, , , , , , , , , , , , 2.077
474, GB40-044318, Handbook of Glass Data, 1985, v. 00B  p. 0688, , , , , , 17.21, , , , , , , , , , , , 2.073
475, GB40-044437, Handbook of Glass Data, 1985, v. 00B  p. 0700, , , , , , , , , , , , , , , , , , 2.165
476, GB40-044438, Handbook of Glass Data, 1985, v. 00B  p. 0700, , , , , , , , , , , , , , , , , , 2.161
477, GB40-044439, Handbook of Glass Data, 1985, v. 00B  p. 0700, , , , , , , , , , , , , , , , , , 2.158
478, GC04-044637, Schott AG (DE), 1981, SF53-728287, *, , , , , , , *, *, , , *, , , , , , 1.721
479, GC04-044638, Schott AG (DE), 1981, SF54-741281, *, , , , , , , *, *, , , *, , , , , , 1.733
480, GC04-044639, Schott AG (DE), 1981, SF55-762270, *, , , , , , , *, *, , , *, , , , , , 1.754
481, GC04-044640, Schott AG (DE), 1981, SF56-785261, *, , , , , , , *, *, , , *, , , , , , 1.776
482, GC04-044641, Schott AG (DE), 1981, SF57-847238, *, , , , , , , *, *, , , *, , , , , , 1.837
483, GC04-044642, Schott AG (DE), 1981, SF58-918215, *, , , , , , , *, *, , , *, , , , , , 1.906
484, GC04-044643, Schott AG (DE), 1981, SF59-953204, *, , , , , , , *, *, , , *, , , , , , 1.939
485, GC04-044644, Schott AG (DE), 1981, SF61-751275, *, , , , , , , *, *, , , *, , , , , , 1.743
486, GC04-044645, Schott AG (DE), 1981, SF62-681319, *, , , , , , , *, *, , , *, , , , , , 1.675
487, GC04-044646, Schott AG (DE), 1981, SF63-748277, *, , , , , , , *, *, , , *, , , , , , 1.741
488, GC04-044647, Schott AG (DE), 1981, SFN64-706303, *, , , , , , , *, *, , , *, , , , , , 1.699
489, GC02-044648, Schott AG (DE), 1981, TiK1-479587, *, , *, , *, , , *, *, , , , , *, , , , 1.476
490, GC04-044649, Schott AG (DE), 1981, TiF1-511510, *, *, *, , , , , *, , , , *, , *, , , , 1.508
491, GC04-044650, Schott AG (DE), 1981, TiF2-533460, *, *, *, , , , , *, , , , *, , *, , , , 1.529
492, GC04-044651, Schott AG (DE), 1981, TiF3-548422, *, *, *, , , , , *, , , , *, , *, , , , 1.544
493, GC04-044652, Schott AG (DE), 1981, TiF4-584370, *, *, *, , , , , *, , , , *, , *, , , , 1.579
494, GC04-044653, Schott AG (DE), 1981, TiFN5-594355, *, *, *, , , , , *, , , , *, , *, , , , 1.589
495, GC04-044654, Schott AG (DE), 1981, TiF6-617310, *, *, *, , , , , *, , , , *, , *, , , , 1.611
496, GC04-044655, Schott AG (DE), 1981, TiSF1-673289, *, , , , , , , *, *, , , *, , *, , , , 1.667
497, GC05-044656, Schott AG (DE), 1981, KzF1-551497, *, *, *, , , , , , *, *, , , , , , , , 1.548
498, GC05-044657, Schott AG (DE), 1981, KzF2-529517, *, *, *, , , , , , *, *, , , , , , , , 1.526
499, GC05-044658, Schott AG (DE), 1981, KzF6-527511, *, *, *, , , , , , *, *, , , , , , , , 1.524
500, GC10-044659, Schott AG (DE), 1981, KzFS1-613443, , *, *, , , , , , , , , *, , , , , , 1.609
501, GC10-044660, Schott AG (DE), 1981, KzFSn2-558542, , *, *, , , , , , , , , *, , , , , , 1.555
502, GC10-044661, Schott AG (DE), 1981, KzFSn4-613443, , *, *, , , , , , , , , *, , , , , , 1.609
503, GC10-044662, Schott AG (DE), 1981, KzFSn5-654396, , *, *, , , , , , , , , *, , , , , , 1.649
504, GC10-044663, Schott AG (DE), 1981, KzFS6-592485, , *, *, , , , , , , , , *, , , , , , 1.588
505, GC10-044664, Schott AG (DE), 1981, KzFSn7-681372, , *, *, , , , , , , , , *, , , , , , 1.675
506, GC10-044665, Schott AG (DE), 1981, KzFS8-720346, , *, *, , , , , , , , , *, , , , , , 1.714
507, GC10-044666, Schott AG (DE), 1981, KzFSn9-599469, , *, *, , , , , , , , , *, , , , , , 1.595
508, GC40-044667, Schott AG (DE), 1981, LgSK2-586610, , , , , , , , , , , , , , , , , , 1.583
509, GC05-044668, Schott AG (DE), 1981, KzFn1-551496, *, *, *, , , , , , *, *, , , , , , , , 1.548
510, GC05-044669, Schott AG (DE), 1981, KzFn2-529516, *, *, *, , , , , , *, *, , , , , , , , 1.526
511, GC05-044670, Schott AG (DE), 1981, LaF2-744447, *, *, , , *, *, , , , *, , *, *, , , *, , 1.739
512, GC05-044671, Schott AG (DE), 1981, LaF3-717480, *, *, , , *, *, , , , *, , *, *, , , *, , 1.713
513, GC04-044672, Schott AG (DE), 1981, BaSF64-701396, *, , , , , *, , *, *, *, , *, , , , , , 1.696
514, GC03-044673, Schott AG (DE), 1981, SK55-620601, *, *, *, , , *, , , , *, , , , , , , , 1.617
515, GC05-044674, Schott AG (DE), 1981, LaSF3-808406, *, *, , , , *, , , , *, , , *, , , *, , 1.802
516, GC05-044675, Schott AG (DE), 1981, LaSF8-807316, *, *, , , , *, , , , *, , , *, , , *, , 1.8
517, GC04-044676, Schott AG (DE), 1981, SF3-740282, *, , , , , , , *, *, , , *, , , , , , 1.732
518, GC04-044677, Schott AG (DE), 1981, SF4-755276, *, , , , , , , *, *, , , *, , , , , , 1.747
519, GC04-044678, Schott AG (DE), 1981, SF5-673322, *, , , , , , , *, *, , , *, , , , , , 1.667
520, GC04-044679, Schott AG (DE), 1981, SF6-805254, *, , , , , , , *, *, , , *, , , , , , 1.796
521, GC04-044680, Schott AG (DE), 1981, SF7-640346, *, , , , , , , *, *, , , *, , , , , , 1.634
522, GC04-044681, Schott AG (DE), 1981, SF8-689312, *, , , , , , , *, *, , , *, , , , , , 1.683
523, GC04-044682, Schott AG (DE), 1981, SF9-654337, *, , , , , , , *, *, , , *, , , , , , 1.649
524, GC04-044683, Schott AG (DE), 1981, SF10-728284, *, , , , , , , *, *, , , *, , , , , , 1.721
525, GC04-044684, Schott AG (DE), 1981, SF11-785258, *, , , , , , , *, *, , , *, , , , , , 1.776
526, GC04-044685, Schott AG (DE), 1981, SF12-648338, *, , , , , , , *, *, , , *, , , , , , 1.643
527, GC04-044686, Schott AG (DE), 1981, SF13-741276, *, , , , , , , *, *, , , *, , , , , , 1.733
528, GC04-044687, Schott AG (DE), 1981, SF14-762265, *, , , , , , , *, *, , , *, , , , , , 1.754
529, GC04-044688, Schott AG (DE), 1981, SF15-699301, *, , , , , , , *, *, , , *, , , , , , 1.692
530, GC04-044689, Schott AG (DE), 1981, SF16-646341, *, , , , , , , *, *, , , *, , , , , , 1.641
531, GC04-044690, Schott AG (DE), 1981, SF17-650337, *, , , , , , , *, *, , , *, , , , , , 1.645
532, GC04-044691, Schott AG (DE), 1981, SF18-722293, *, , , , , , , *, *, , , *, , , , , , 1.714
533, GC04-044692, Schott AG (DE), 1981, SF19-667330, *, , , , , , , *, *, , , *, , , , , , 1.661
534, GC04-044693, Schott AG (DE), 1981, SF50-655329, *, , , , , , , *, *, , , *, , , , , , 1.649
535, GC04-044694, Schott AG (DE), 1981, BaSF51-724381, *, , , , , *, , *, *, *, , *, , , , , , 1.718
536, GC04-044695, Schott AG (DE), 1981, BaSF52-702410, *, , , , , *, , *, *, *, , *, , , , , , 1.697
537, GC04-044696, Schott AG (DE), 1981, BaSF54-736322, *, , , , , *, , *, *, *, , *, , , , , , 1.73
538, GC04-044697, Schott AG (DE), 1981, BaSF55-700347, *, , , , , *, , *, *, *, , *, , , , , , 1.694
539, GC04-044698, Schott AG (DE), 1981, BaSF56-657367, *, , , , , *, , *, *, *, , *, , , , , , 1.652
540, GC04-044699, Schott AG (DE), 1981, BaSF57-651419, *, , , , , *, , *, *, *, , *, , , , , , 1.647
541, GC05-044700, Schott AG (DE), 1981, LaFn2-744448, *, *, , , *, *, , , , *, , *, *, , , *, , 1.739
542, GC05-044701, Schott AG (DE), 1981, LaFn3-717480, *, *, , , *, *, , , , *, , *, *, , , *, , 1.713
543, GC05-044702, Schott AG (DE), 1981, LaFn7-750350, *, *, , , *, *, , , , *, , *, *, , , *, , 1.743
544, GC05-044703, Schott AG (DE), 1981, LaFn8-735416, *, *, , , *, *, , , , *, , *, *, , , *, , 1.73
545, GC05-044704, Schott AG (DE), 1981, LaF9-795284, *, *, , , *, *, , , , *, , *, *, , , *, , 1.787
546, GC05-044705, Schott AG (DE), 1981, LaF10-784439, *, *, , , *, *, , , , *, , *, *, , , *, , 1.779
547, GC05-044706, Schott AG (DE), 1981, LaFn11-757318, *, *, , , *, *, , , , *, , *, *, , , *, , 1.75
548, GC05-044707, Schott AG (DE), 1981, LaF13-776378, *, *, , , *, *, , , , *, , *, *, , , *, , 1.769
549, GC05-044708, Schott AG (DE), 1981, LaF20-682482, *, *, , , *, *, , , , *, , *, *, , , *, , 1.678
550, GC05-044709, Schott AG (DE), 1981, LaF21-788474, *, *, , , *, *, , , , *, , *, *, , , *, , 1.783
551, GC05-044710, Schott AG (DE), 1981, LaF22-782371, *, *, , , *, *, , , , *, , *, *, , , *, , 1.776
552, GC05-044711, Schott AG (DE), 1981, LaF23-689495, *, *, , , *, *, , , , *, , *, *, , , *, , 1.685
553, GC05-044712, Schott AG (DE), 1981, LaF24-757478, *, *, , , *, *, , , , *, , *, *, , , *, , 1.752
554, GC05-044713, Schott AG (DE), 1981, LaF25-784413, *, *, , , *, *, , , , *, , *, *, , , *, , 1.779
555, GC05-044714, Schott AG (DE), 1981, LaF26-746400, *, *, , , *, *, , , , *, , *, *, , , *, , 1.74
556, GC05-044715, Schott AG (DE), 1981, LaF28-773497, *, *, , , *, *, , , , *, , *, *, , , *, , 1.768
557, GC05-044716, Schott AG (DE), 1981, LaSFn3-808408, *, *, , , , *, , , , *, , , *, , , *, , 1.802
558, GC05-044717, Schott AG (DE), 1981, LaSF8-807316, *, *, , , , *, , , , *, , , *, , , *, , 1.8
559, GC05-044718, Schott AG (DE), 1981, LaSF9-850322, *, *, , , , *, , , , *, , , *, , , *, , 1.843
560, GC05-044719, Schott AG (DE), 1981, LaSF11-802443, *, *, , , , *, , , , *, , , *, , , *, , 1.796
561, GC05-044720, Schott AG (DE), 1981, LaSF13-855366, *, *, , , , *, , , , *, , , *, , , *, , 1.849
562, GC05-044721, Schott AG (DE), 1981, LaSF15-878382, *, *, , , , *, , , , *, , , *, , , *, , 1.871
563, GC05-044722, Schott AG (DE), 1981, LaSFn18-913324, *, *, , , , *, , , , *, , , *, , , *, , 1.905
564, GC05-044723, Schott AG (DE), 1981, LaSF30-803465, *, *, , , , *, , , , *, , , *, , , *, , 1.798
565, GC05-044724, Schott AG (DE), 1981, LaSF31-881411, *, *, , , , *, , , , *, , , *, , , *, , 1.874
566, GC05-044725, Schott AG (DE), 1981, LaSF32-803304, *, *, , , , *, , , , *, , , *, , , *, , 1.796
567, GC05-044726, Schott AG (DE), 1981, LaSF33-806342, *, *, , , , *, , , , *, , , *, , , *, , 1.799
568, GC04-044727, Schott AG (DE), 1981, SF1-717295, *, , , , , , , *, *, , , *, , , , , , 1.71
569, GC04-044728, Schott AG (DE), 1981, SF2-648339, *, , , , , , , *, *, , , *, , , , , , 1.642
570, GC04-044729, Schott AG (DE), 1981, BaF52-609464, *, , , , , *, , *, *, , , *, , , , , , 1.605
571, GC04-044730, Schott AG (DE), 1981, BaF53-670471, *, , , , , *, , *, *, , , *, , , , , , 1.666
572, GC04-044731, Schott AG (DE), 1981, BaF54-667482, *, , , , , *, , *, *, , , *, , , , , , 1.663
573, GC04-044732, Schott AG (DE), 1981, LF1-573426, *, , , , , , , *, *, , , *, , , , , , 1.569
574, GC04-044733, Schott AG (DE), 1981, LF2-589409, *, , , , , , , *, *, , , *, , , , , , 1.585
575, GC04-044734, Schott AG (DE), 1981, LF3-582421, *, , , , , , , *, *, , , *, , , , , , 1.578
576, GC04-044735, Schott AG (DE), 1981, LF4-578416, *, , , , , , , *, *, , , *, , , , , , 1.574
577, GC04-044736, Schott AG (DE), 1981, LF5-581409, *, , , , , , , *, *, , , *, , , , , , 1.577
578, GC04-044737, Schott AG (DE), 1981, LF6-567428, *, , , , , , , *, *, , , *, , , , , , 1.563
579, GC04-044738, Schott AG (DE), 1981, LF7-575415, *, , , , , , , *, *, , , *, , , , , , 1.571
580, GC04-044739, Schott AG (DE), 1981, LF8-564438, *, , , , , , , *, *, , , *, , , , , , 1.561
581, GC04-044740, Schott AG (DE), 1981, F1-626357, *, , , , , , , *, *, , , *, , , , , , 1.621
582, GC04-044741, Schott AG (DE), 1981, F2-620364, *, , , , , , , *, *, , , *, , , , , , 1.615
583, GC04-044742, Schott AG (DE), 1981, F3-613370, *, , , , , , , *, *, , , *, , , , , , 1.608
584, GC04-044743, Schott AG (DE), 1981, F4-617366, *, , , , , , , *, *, , , *, , , , , , 1.612
585, GC04-044744, Schott AG (DE), 1981, F5-603380, *, , , , , , , *, *, , , *, , , , , , 1.599
586, GC04-044745, Schott AG (DE), 1981, F6-636353, *, , , , , , , *, *, , , *, , , , , , 1.631
587, GC04-044746, Schott AG (DE), 1981, F7-625356, *, , , , , , , *, *, , , *, , , , , , 1.62
588, GC04-044747, Schott AG (DE), 1981, F8-596392, *, , , , , , , *, *, , , *, , , , , , 1.591
589, GC04-044748, Schott AG (DE), 1981, F9-620381, *, , , , , , , *, *, , , *, , , , , , 1.616
590, GC04-044749, Schott AG (DE), 1981, FN11-621362, *, , , , , , , *, *, , , *, , , , , , 1.616
591, GC04-044750, Schott AG (DE), 1981, F13-622360, *, , , , , , , *, *, , , *, , , , , , 1.617
592, GC04-044751, Schott AG (DE), 1981, F14-601382, *, , , , , , , *, *, , , *, , , , , , 1.597
593, GC04-044752, Schott AG (DE), 1981, F15-606378, *, , , , , , , *, *, , , *, , , , , , 1.601
594, GC04-044753, Schott AG (DE), 1981, BaSF1-626390, *, , , , , *, , *, *, *, , *, , , , , , 1.621
595, GC04-044754, Schott AG (DE), 1981, BaSF2-664358, *, , , , , *, , *, *, *, , *, , , , , , 1.659
596, GC04-044755, Schott AG (DE), 1981, BaSF5-603425, *, , , , , *, , *, *, *, , *, , , , , , 1.599
597, GC04-044756, Schott AG (DE), 1981, BaSF6-668419, *, , , , , *, , *, *, *, , *, , , , , , 1.663
598, GC04-044757, Schott AG (DE), 1981, BaSF10-650392, *, , , , , *, , *, *, *, , *, , , , , , 1.645
599, GC04-044758, Schott AG (DE), 1981, BaSF12-670392, *, , , , , *, , *, *, *, , *, , , , , , 1.665
600, GC04-044759, Schott AG (DE), 1981, BaSF13-698386, *, , , , , *, , *, *, *, , *, , , , , , 1.692
601, GC04-044760, Schott AG (DE), 1981, BaSF14-700350, *, , , , , *, , *, *, *, , *, , , , , , 1.694
602, GC04-044761, Schott AG (DE), 1981, BaSF50-710366, *, , , , , *, , *, *, *, , *, , , , , , 1.704
603, GC05-044762, Schott AG (DE), 1981, LaKn14-697554, *, *, , , *, , , , , , , , *, , , *, , 1.693
