Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
17, GB03-012530, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 34.0, , , , 14.0, , , , , , , , 1.65
18, GB03-012531, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 34.0, , , , 16.0, , , , , , , , 1.658
19, GB03-012532, Handbook of Glass Properties, 1986, v. 001  p. 0591, 48.0, , , , , 34.0, , , , 18.0, , , , , , , , 1.665
20, GB03-012533, Handbook of Glass Properties, 1986, v. 001  p. 0591, 46.0, , , , , 34.0, , , , 20.0, , , , , , , , 1.666
21, GB03-012534, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 33.0, , , , 3.0, , , , , , , , 1.608
22, GB03-012535, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 32.0, , , , 16.0, , , , , , , , 1.652
23, GB03-012536, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 32.0, , , , 18.0, , , , , , , , 1.658
24, GB03-012537, Handbook of Glass Properties, 1986, v. 001  p. 0591, 64.0, , , , , 30.0, , , , 6.0, , , , , , , , 1.61
25, GB03-012538, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 30.0, , , , 8.0, , , , , , , , 1.618
26, GB03-012539, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 30.0, , , , 10.0, , , , , , , , 1.625
27, GB03-012540, Handbook of Glass Properties, 1986, v. 001  p. 0591, 58.0, , , , , 30.0, , , , 12.0, , , , , , , , 1.629
28, GB03-012541, Handbook of Glass Properties, 1986, v. 001  p. 0591, 56.0, , , , , 30.0, , , , 14.0, , , , , , , , 1.638
29, GB03-012542, Handbook of Glass Properties, 1986, v. 001  p. 0591, 54.0, , , , , 30.0, , , , 16.0, , , , , , , , 1.645
30, GB03-012543, Handbook of Glass Properties, 1986, v. 001  p. 0591, 52.0, , , , , 30.0, , , , 18.0, , , , , , , , 1.651
31, GB03-012544, Handbook of Glass Properties, 1986, v. 001  p. 0591, 50.0, , , , , 30.0, , , , 20.0, , , , , , , , 1.657
32, GB03-012545, Handbook of Glass Properties, 1986, v. 001  p. 0591, 62.0, , , , , 28.0, , , , 10.0, , , , , , , , 1.615
33, GB03-012546, Handbook of Glass Properties, 1986, v. 001  p. 0591, 60.0, , , , , 28.0, , , , 12.0, , , , , , , , 1.622
